,ts_code,exchange,name,per_unit,opt_type,call_put,exercise_type,exercise_price,maturity_date,list_date,delist_date
1057,10000395.SH,SSE,华夏上证50ETF期权1512认购1.90,10000.0,ETF期权,C,欧式,1.9,20151223,20150826,20151223
1058,10000232.SH,SSE,华夏上证50ETF期权1507认购2.80,10000.0,ETF期权,C,欧式,2.8,20150722,20150623,20150722
1059,10000399.SH,SSE,华夏上证50ETF期权1603认购1.80,10000.0,ETF期权,C,欧式,1.8,20160323,20150826,20160323
1060,10000953.SH,SSE,华夏上证50ETF期权1707认购2.75,10000.0,ETF期权,C,欧式,2.75,20170726,20170714,20170726
1061,10000954.SH,SSE,华夏上证50ETF期权1707认沽2.75,10000.0,ETF期权,P,欧式,2.75,20170726,20170714,20170726
1062,10000955.SH,SSE,华夏上证50ETF期权1708认购2.75,10000.0,ETF期权,C,欧式,2.75,20170823,20170714,20170823
1063,10000956.SH,SSE,华夏上证50ETF期权1708认沽2.75,10000.0,ETF期权,P,欧式,2.75,20170823,20170714,20170823
1064,10000957.SH,SSE,华夏上证50ETF期权1709认购2.75,10000.0,ETF期权,C,欧式,2.75,20170927,20170714,20170927
1065,10000958.SH,SSE,华夏上证50ETF期权1709认沽2.75,10000.0,ETF期权,P,欧式,2.75,20170927,20170714,20170927
1066,10000959.SH,SSE,华夏上证50ETF期权1712认购2.70,10185.0,ETF期权,C,欧式,2.7,20171227,20170714,20171227
1067,10000960.SH,SSE,华夏上证50ETF期权1712认沽2.70,10185.0,ETF期权,P,欧式,2.7,20171227,20170714,20171227
1068,10000528.SH,SSE,华夏上证50ETF期权1602认沽2.05,10000.0,ETF期权,P,欧式,2.05,20160224,20160112,20160224
1069,10000559.SH,SSE,华夏上证50ETF期权1609认购2.05,10000.0,ETF期权,C,欧式,2.05,20160928,20160128,20160928
1070,10000359.SH,SSE,华夏上证50ETF期权1509认购2.05,10000.0,ETF期权,C,欧式,2.05,20150923,20150825,20150923
1071,10001695.SH,SSE,华夏上证50ETF期权1902认购2.65,10000.0,ETF期权,C,欧式,2.65,20190227,20190128,20190227
1072,10001696.SH,SSE,华夏上证50ETF期权1902认沽2.65,10000.0,ETF期权,P,欧式,2.65,20190227,20190128,20190227
1073,10001697.SH,SSE,华夏上证50ETF期权1909认购2.65,10000.0,ETF期权,C,欧式,2.65,20190925,20190128,20190925
1074,10001698.SH,SSE,华夏上证50ETF期权1909认沽2.65,10000.0,ETF期权,P,欧式,2.65,20190925,20190128,20190925
1075,10000820.SH,SSE,华夏上证50ETF期权1703认沽2.25,10000.0,ETF期权,P,欧式,2.25,20170322,20161206,20170322
1076,10000200.SH,SSE,华夏上证50ETF期权1512认沽3.50,10000.0,ETF期权,P,欧式,3.5,20151223,20150428,20151223
1077,10000189.SH,SSE,华夏上证50ETF期权1512认沽3.10,10000.0,ETF期权,P,欧式,3.1,20151223,20150423,20151223
1078,10000427.SH,SSE,华夏上证50ETF期权1511认购2.10,10000.0,ETF期权,C,欧式,2.1,20151125,20150924,20151125
1079,10000080.SH,SSE,华夏上证50ETF期权1509认沽2.65,10000.0,ETF期权,P,欧式,2.65,20150923,20150318,20150923
1080,10000464.SH,SSE,华夏上证50ETF期权1606认购2.50,10000.0,ETF期权,C,欧式,2.5,20160622,20151105,20160622
1081,10000598.SH,SSE,华夏上证50ETF期权1604认沽2.30,10000.0,ETF期权,P,欧式,2.3,20160427,20160322,20160427
1082,10000814.SH,SSE,华夏上证50ETF期权1706认沽2.55,10000.0,ETF期权,P,欧式,2.55,20170628,20161130,20170628
