,high,pre_settle,oi,wind_code,volume,amount,settle,low,trade_date,close,open,change,bopu_symbol,local_symbol,pre_close
2015/5/27,3507.0,3430.4,58323.0,IH1506.CFE,342601.0,351431000000.0,3388.8,3351.8,20150527,3396.8,3453.8,-33.6,IH1506|FU|CFFEX,IH1506,3417.8
2015/5/28,3419.0,3388.8,47345.0,IH1506.CFE,385437.0,381147000000.0,3189.2,3121.2,20150528,3164.6,3411.6,-224.2,IH1506|FU|CFFEX,IH1506,3396.8
2015/5/29,3194.8,3189.2,37538.0,IH1506.CFE,371616.0,350519000000.0,3109.2,3060.6,20150529,3118.6,3179.4,-70.6,IH1506|FU|CFFEX,IH1506,3164.6
2015/6/1,3340.4,3109.2,41622.0,IH1506.CFE,344357.0,333049000000.0,3314.2,3086.6,20150601,3336.0,3100.0,226.8,IH1506|FU|CFFEX,IH1506,3118.6
2015/6/2,3349.2,3314.2,38496.0,IH1506.CFE,356277.0,351056000000.0,3303.2,3220.4,20150602,3295.6,3340.0,-18.6,IH1506|FU|CFFEX,IH1506,3336.0
2015/6/3,3336.0,3303.2,34342.0,IH1506.CFE,411425.0,403790000000.0,3270.8,3210.2,20150603,3244.8,3296.6,-58.4,IH1506|FU|CFFEX,IH1506,3295.6
2015/6/4,3395.8,3270.8,43924.0,IH1506.CFE,535862.0,524572000000.0,3290.0,3021.2,20150604,3373.2,3258.8,102.4,IH1506|FU|CFFEX,IH1506,3244.8
2015/6/5,3426.2,3290.0,46520.0,IH1506.CFE,473292.0,472055000000.0,3310.0,3203.0,20150605,3304.8,3369.0,14.8,IH1506|FU|CFFEX,IH1506,3373.2
2015/6/8,3543.0,3310.0,73160.0,IH1506.CFE,474019.0,488105000000.0,3517.8,3285.0,20150608,3535.0,3315.0,225.0,IH1506|FU|CFFEX,IH1506,3304.8
2015/6/9,3565.0,3517.8,69199.0,IH1506.CFE,558664.0,579341000000.0,3435.4,3385.0,20150609,3415.8,3539.2,-102.0,IH1506|FU|CFFEX,IH1506,3535.0
